,date,province,latitude,longitude,confirmed,S,S_f,E,I,Q,R
0,2020-03-01,Chungcheongnam-do,36.658976,126.673318,68.0,2187828.0,0.0,91.0,13.0,68.0,0.0
1,2020-03-02,Chungcheongnam-do,36.658976,126.673318,71.25,2175841.3375478657,11986.523563053435,68.3888890809872,32.5,66.39285714285714,4.857142857142857
2,2020-03-03,Chungcheongnam-do,36.658976,126.673318,79.375,2164192.83859944,23634.884368124156,51.42981016556118,41.4722222702468,69.77551020408163,9.599489795918366
3,2020-03-04,Chungcheongnam-do,36.658976,126.673318,89.7430555675617,2152036.748272424,35790.837276473576,38.70977629098543,43.96161924407539,75.15960075706607,14.583454810495624
4,2020-03-05,Chungcheongnam-do,36.658976,126.673318,100.73346037858055,2139050.7981831226,48776.65070337476,29.16899461827609,42.6486585058029,80.78146265686591,19.95199772171463
5,2020-03-06,Chungcheongnam-do,36.658976,126.673318,111.39562500503126,2125216.1800236176,62611.13300837482,22.01260046891881,39.278742533921196,85.67352280782622,25.722102197205054
6,2020-03-07,Chungcheongnam-do,36.658976,126.673318,121.21531063851157,2110673.7726069815,77153.40543119871,16.64444416390701,34.9622070176706,89.37367109789035,31.841639540621212
7,2020-03-08,Chungcheongnam-do,36.658976,126.673318,129.95586239292922,2095634.5508880615,92192.49306103316,12.6174222084766,30.382766304229705,91.7303892024587,38.225473190470524
8,2020-03-09,Chungcheongnam-do,36.658976,126.673318,137.55155396898664,2080326.5207036803,107500.39009196371,9.596220106935181,25.941430280291428,92.77391012119764,44.777643847789
9,2020-03-10,Chungcheongnam-do,36.658976,126.673318,144.0369115390595,2064965.3351331055,122861.4434614462,7.329366172436037,21.855127736952365,92.63255982547066,51.40435171358883
10,2020-03-11,Chungcheongnam-do,36.658976,126.673318,149.5006934732976,2049739.7488375097,138086.89851161517,5.628270056264836,18.223687345823283,91.4797303436037,58.020963129693875
11,2020-03-12,Chungcheongnam-do,36.658976,126.673318,154.0566153097534,2034806.0382216715,153020.47882925568,4.351500739875773,15.074833023433671,89.50138572694497,64.55522958280842
12,2020-03-13,Chungcheongnam-do,36.658976,126.673318,157.82532356561182,2020287.593228364,167538.79445343636,3.392994681780311,12.393999952544196,86.87713785945019,70.94818570616164
13,2020-03-14,Chungcheongnam-do,36.658976,126.673318,160.92382355374787,2006277.2874808863,181548.97173502296,2.673211902318054,10.143748634853225,83.77012800048266,77.15369555326522
14,2020-03-15,Chungcheongnam-do,36.658976,126.673318,163.4597607124612,1992841.1551126596,194984.9765089818,2.132503194688529,8.276114451719431,80.32248458773292,83.13727612472827
